date,scores
2020-05-28,1.8441176470588236
2020-05-29,2.1691542288557213
2020-05-30,2.095744680851064
2020-05-31,2.066666666666667
2020-06-01,1.9120879120879122
2020-06-02,1.664
2020-06-03,1.8407079646017699
2020-06-04,1.994535519125683
2020-06-05,2.5655526992287916
2020-06-06,2.0866141732283463
2020-06-07,2.0
2020-06-08,1.691588785046729
2020-06-09,1.9505494505494505
2020-06-10,1.9069767441860466
2020-06-11,1.8224299065420562
2020-06-12,1.7727272727272727
2020-06-13,1.8028169014084507
2020-06-14,1.9435483870967742
2020-06-15,1.9665071770334928
2020-06-16,1.6946107784431137
2020-06-17,1.9453125
2020-06-18,1.813953488372093
2020-06-19,1.6643835616438356
2020-06-20,1.9042553191489362
2020-06-21,1.8232323232323233
2020-06-22,1.935483870967742
2020-06-23,1.6620111731843576
2020-06-24,1.9831460674157304
2020-06-25,1.93841642228739
2020-06-26,1.919811320754717
2020-06-27,1.13
2020-06-28,1.216
2020-06-29,1.6782608695652175
