date,scores
2016-10-08,1.704
2016-10-09,1.714
2016-10-10,1.772
2016-10-11,1.756
2016-10-12,1.824
2016-10-13,1.774
2016-10-14,1.756
2016-10-15,1.82
2016-10-16,1.688
2016-10-17,1.72
2016-10-18,1.83
2016-10-19,1.888
2016-10-20,1.806
2016-10-21,1.802
2016-10-22,1.836
2016-10-23,1.864
2016-10-24,1.864
2016-10-25,1.812
2016-10-26,1.872
2016-10-27,1.922
2016-10-28,1.854
2016-10-29,1.902
2016-10-30,1.84
2016-10-31,1.902
2016-11-01,1.84
2016-11-02,1.8132118451025057
2016-11-03,1.874
2016-11-04,1.864
2016-11-05,1.844
2016-11-06,1.858
2016-11-07,1.918
