date,score
2020-06-05,2.0
2020-06-06,2.5
2020-06-07,2.2
2020-06-08,1.5
2020-06-09,2.0
2020-06-10,1.4
2020-06-11,2.0
2020-06-12,2.0
2020-06-13,1.5
2020-06-14,1.3333333333333333
2020-06-15,2.0
2020-06-16,1.5
2020-06-17,2.1
2020-06-18,1.75
2020-06-19,1.7142857142857142
2020-06-20,2.2
2020-06-21,1.3333333333333333
2020-06-22,1.75
2020-06-23,1.75
2020-06-24,1.7142857142857142
2020-06-25,1.8333333333333333
2020-06-26,2.0
2020-06-27,2.0
2020-06-28,1.6
2020-06-29,1.75
2020-06-30,1.75
2020-07-01,1.9
2020-07-02,1.7692307692307692
2020-07-03,1.7692307692307692
2020-07-04,1.7692307692307692
